seed,N,n_tests,n_eff,mean_red,cimd_alpha_mean,cimd_alpha_std,cimd_alpha_cv,ratio_min,ratio_max,ratio_mean,shd_van,prec_van,rec_van,f1_van,shd_bonf,prec_bonf,rec_bonf,f1_bonf,shd_cimd,prec_cimd,rec_cimd,f1_cimd,cimd_time
5,1000,106641,38855.62406517591,0.63564085046862,6.6279232242392284e-06,3.2607457216434534e-05,4.919709555051056,1.0,697.0,14.136167211121906,5,0.8947368421052632,0.85,0.8717948717948718,4,0.9444444444444444,0.85,0.8947368421052632,4,0.9444444444444444,0.85,0.8947368421052632,2.725443124771118
5,2000,106641,44666.78478725323,0.5811481063825993,7.022035984607577e-06,3.736430048507997e-05,5.3210066947795704,1.0,697.0,14.976738788690731,4,0.9,0.9,0.9,3,1.0,0.85,0.9189189189189189,3,1.0,0.85,0.9189189189189189,2.554565906524658
5,3500,106641,46577.52216754405,0.5632306320501116,5.012809838288516e-06,2.736435597328989e-05,5.458885706032025,1.0,697.0,10.691421079298513,3,0.9473684210526315,0.9,0.9230769230769231,3,1.0,0.85,0.9189189189189189,3,1.0,0.85,0.9189189189189189,3.133708953857422
5,5000,106641,47304.26675917871,0.5564157616753527,6.052381184021019e-06,3.035976425708129e-05,5.016168568039725,1.0,697.0,12.908639636903711,4,0.9,0.9,0.9,3,1.0,0.85,0.9189189189189189,3,1.0,0.85,0.9189189189189189,2.511765956878662
6,500,106641,35128.120711297815,0.6705946051584493,9.429652407248668e-06,4.362822123004648e-05,4.626705136714162,1.0,697.0,20.111751247228103,1,1.0,0.9411764705882353,0.9696969696969697,2,1.0,0.8823529411764706,0.9375,2,1.0,0.8823529411764706,0.9375,2.6014480590820312
6,1000,106641,35151.53107489799,0.6703750801764988,8.482819501973832e-06,3.8277984574104056e-05,4.512412950104303,1.0,697.0,18.092327090199827,1,1.0,0.9411764705882353,0.9696969696969697,2,1.0,0.8823529411764706,0.9375,2,1.0,0.8823529411764706,0.9375,2.749789237976074
6,2000,106641,38829.25183540027,0.635888149629127,9.476097436879378e-06,3.906317957404399e-05,4.122285554179368,1.0,697.0,20.210810135325072,4,0.8421052631578947,0.9411764705882353,0.8888888888888888,1,1.0,0.9411764705882353,0.9696969696969697,1,1.0,0.9411764705882353,0.9696969696969697,2.7481789588928223
6,3500,106641,41058.51137527242,0.6149838113364239,1.1475419159047067e-05,5.192835977405015e-05,4.52518196105373,1.0,697.0,24.475003490798763,2,0.8947368421052632,1.0,0.9444444444444444,1,1.0,0.9411764705882353,0.9696969696969697,1,1.0,0.9411764705882353,0.9696969696969697,2.718726873397827
6,5000,106641,41116.106084711515,0.6144437309785963,7.473195688924058e-06,3.752285587303814e-05,5.020992013985444,1.0,697.0,15.938981229251008,0,1.0,1.0,1.0,1,1.0,0.9411764705882353,0.9696969696969697,1,1.0,0.9411764705882353,0.9696969696969697,2.872933864593506
7,500,106641,33545.3287449294,0.685436851258621,3.9327639566671434e-06,9.265166345631572e-06,2.3558917971480344,1.0,159.99885588250305,8.387877622058818,1,0.9411764705882353,1.0,0.9696969696969697,4,1.0,0.75,0.8571428571428571,3,1.0,0.8125,0.896551724137931,3.2278802394866943
